"Unidade da Federação";"Sexo";"Idade";"Cor ou raça";"Total"
"Mato Grosso do Sul";"Total";"Total";"Indígena";"73295"
"Mato Grosso";"Total";"Total";"Branca";"1137150"
"Mato Grosso";"Total";"Total";"Preta";"229890"
"Mato Grosso";"Total";"Total";"Amarela";"34642"
"Mato Grosso";"Total";"Total";"Parda";"1590707"
"Mato Grosso";"Total";"Total";"Indígena";"42538"
"Goiás";"Total";"Total";"Branca";"2502119"
"Goiás";"Total";"Total";"Preta";"391918"
"Goiás";"Total";"Total";"Amarela";"98478"
"Goiás";"Total";"Total";"Parda";"3002673"
"Goiás";"Total";"Total";"Indígena";"8533"
"Distrito Federal";"Total";"Total";"Branca";"1084418"
"Distrito Federal";"Total";"Total";"Preta";"198072"
"Distrito Federal";"Total";"Total";"Amarela";"41522"
"Distrito Federal";"Total";"Total";"Parda";"1239882"
"Distrito Federal";"Total";"Total";"Indígena";"6128"
